Card #,Card Title,Keywords,RFID Serial
42,Pride Flag Fragment,identity, growth, pride,04:26:C8:5A:06:1F:91
43,404 Club,remembrance, grief, memorial,04:26:C9:5A:06:1F:91
44,EchoGem,memory, patterns, ancestral wisdom,04:26:83:5A:06:1F:91
45,Open Source Kin,community, kinship, solidarity,04:26:82:5A:06:1F:91
46,The Glitch Witch,rebellion, transmutation, authenticity,04:26:81:5A:06:1F:91
47,Cracked Lens,perspective shift, paradox, deconstruction,04:26:80:5A:06:1F:91
48,Corrupted Blessing,duality, acceptance, lesson,04:26:7E:5A:06:1F:91
49,Jitter Loop,patterns, anxiety, awareness,04:26:7D:5A:06:1F:91
50,Drag Signal,visibility, pride, self-expression,04:26:7C:5A:06:1F:91
51,Error Message: Love,heartbreak, healing, beliefs,04:26:7B:5A:06:1F:91
52,Bug Report,honesty, diagnosis, accountability,04:26:7A:5A:06:1F:91
53,Patch Note,integration, healing, evolution,04:26:9E:5A:06:1F:91
54,Ctrl+Z,regret, forgiveness, acceptance,04:26:9D:5A:06:1F:91
55,Overclocked,burnout, balance, limits,04:26:79:5A:06:1F:91
56,Signal Spoof,discernment, illusion, strategy,04:26:78:5A:06:1F:91
57,Broken Synth,vulnerability, creativity, authenticity,04:26:77:5A:06:1F:91
58,Dark Mode,rest, introspection, shadow work,04:26:76:5A:06:1F:91
59,Zero-Day Flare,revelation, disruption, awakening,04:26:75:5A:06:1F:91
60,Queer Chaos Engine,authenticity, creation, rebellion,04:26:74:5A:06:1F:91
61,Dream Loader,dreams, intuition, blueprints,04:26:73:5A:06:1F:91
62,Moonbeam Modem,intuition, silence, downloads,04:26:72:5A:06:1F:91
63,Sugar Capacitor,joy, kindness, resilience,04:26:71:5A:06:1F:91
64,Soft Update,healing, patience, evolution,04:26:70:5A:06:1F:91
65,Neon Prophet,revelation, signs, truth,04:26:6E:5A:06:1F:91
66,Starlink Locket,connection, hope, destiny,04:26:6D:5A:06:1F:91
67,Hologram Garden,imagination, inner world, solace,04:26:6C:5A:06:1F:91
68,Glitter Code,synchronicity, pattern, meaning,04:26:6B:5A:06:1F:91
69,Vaporwave Oracle,nostalgia, reflection, comfort,04:26:6A:5A:06:1F:91
70,Pixel Portal,curiosity, opportunity, threshold,04:26:6F:5A:06:1F:91
71,Wishing.exe,intention, manifestation, clarity,04:26:69:5A:06:1F:91
72,Crush Protocol,love, vulnerability, patterns,04:26:68:5A:06:1F:91
73,Patchwork Prism,wholeness, integration, healing,04:26:67:5A:06:1F:91
74,Signal to Self,inner voice, self-trust, clarity,04:26:66:5A:06:1F:91
75,Utopia Buffer,ideals, hope, progress,04:26:65:5A:06:1F:91
